,0,1
514,553.0,415.0
515,565.0,418.0
516,574.0,423.0
517,583.0,425.0
518,590.0,431.0
519,599.0,440.0
520,611.0,454.0
521,624.0,467.0
522,637.0,478.0
523,646.0,488.0
524,656.0,499.0
525,670.0,519.0
526,682.0,542.0
527,692.0,555.0
528,699.0,566.0
529,711.0,577.0
530,720.0,586.0
531,732.0,603.0
532,742.0,620.0
533,750.0,633.0
534,759.0,642.0
535,769.0,653.0
536,783.0,671.0
537,802.0,690.0
538,816.0,714.0
539,823.0,723.0
540,835.0,738.0
541,847.0,753.0
542,863.0,773.0
543,875.0,786.0
544,886.0,798.0
545,897.0,807.0
546,907.0,817.0
547,916.0,824.0
548,929.0,831.0
549,941.0,839.0
550,954.0,843.0
551,967.0,847.0
552,977.0,848.0
553,989.0,850.0
554,1005.0,850.0
555,1021.0,847.0
556,1036.0,844.0
557,1048.0,838.0
558,1061.0,830.0
559,1083.0,819.0
560,1106.0,807.0
561,1123.0,799.0
562,1140.0,787.0
563,1162.0,772.0
564,1190.0,755.0
565,1207.0,745.0
566,1222.0,736.0
567,1239.0,728.0
568,1265.0,708.0
569,1280.0,695.0
570,1296.0,677.0
571,1312.0,658.0
572,1331.0,633.0
573,1348.0,608.0
574,1356.0,590.0
575,1361.0,581.0
576,1365.0,576.0
577,1366.0,574.0
578,1366.0,574.0
579,882.0,159.0
580,869.0,107.0
581,839.0,32.0
582,825.0,9.0
583,785.0,-78.0
584,773.0,-24.0
585,740.0,-52.0
586,718.0,-30.0
587,708.0,-9.0
588,703.0,-5.0
589,701.0,-2.0
590,699.0,0.0
591,697.0,0.0
592,695.0,0.0
593,694.0,1.0
594,691.0,7.0
595,687.0,18.0
596,684.0,30.0
597,682.0,40.0
598,681.0,49.0
599,678.0,61.0
600,673.0,80.0
601,669.0,100.0
602,668.0,116.0
603,664.0,132.0
604,664.0,154.0
605,665.0,182.0
606,667.0,200.0
607,670.0,216.0
608,674.0,241.0
609,679.0,265.0
610,683.0,282.0
611,688.0,300.0
612,693.0,323.0
613,699.0,347.0
614,702.0,365.0
615,708.0,382.0
616,713.0,422.0
617,716.0,445.0
618,716.0,467.0
619,716.0,500.0
620,713.0,538.0
621,709.0,553.0
622,705.0,569.0
623,698.0,588.0
624,690.0,602.0
625,679.0,610.0
626,648.0,622.0
627,625.0,626.0
628,602.0,623.0
629,551.0,613.0
630,518.0,604.0
631,473.0,589.0
632,396.0,568.0
633,373.0,565.0
634,298.0,556.0
635,269.0,556.0
636,184.0,556.0
637,127.0,556.0
638,41.0,561.0
639,-27.0,572.0
640,-67.0,581.0
641,-43.0,588.0
642,-27.0,592.0
643,-4.0,593.0
644,-2.0,593.0
645,0.0,592.0
646,17.0,550.0
647,25.0,558.0
648,31.0,567.0
649,36.0,574.0
650,40.0,579.0
651,44.0,583.0
652,48.0,588.0
653,50.0,593.0
654,53.0,598.0
655,55.0,605.0
656,58.0,613.0
657,61.0,624.0
658,63.0,632.0
659,64.0,641.0
660,67.0,651.0
661,69.0,665.0
662,70.0,678.0
663,70.0,688.0
664,70.0,691.0
665,70.0,694.0
666,70.0,695.0
667,70.0,696.0
668,69.0,696.0
669,69.0,697.0
670,69.0,697.0
671,68.0,697.0
672,67.0,698.0
673,66.0,699.0
674,65.0,699.0
675,64.0,699.0
676,64.0,699.0
677,72.0,690.0
678,76.0,683.0
679,94.0,669.0
680,127.0,646.0
681,144.0,632.0
682,170.0,610.0
683,200.0,584.0
684,237.0,560.0
685,254.0,548.0
686,276.0,535.0
687,293.0,523.0
688,310.0,515.0
689,327.0,503.0
690,346.0,493.0
691,362.0,486.0
692,375.0,476.0
693,392.0,466.0
694,411.0,456.0
695,426.0,448.0
696,439.0,441.0
697,448.0,435.0
698,457.0,429.0
699,465.0,427.0
700,474.0,421.0
701,487.0,417.0
702,499.0,414.0
703,508.0,413.0
704,520.0,411.0
705,528.0,411.0
706,540.0,413.0
707,553.0,415.0
708,565.0,418.0
709,574.0,423.0
710,583.0,425.0
711,590.0,431.0
712,599.0,440.0
713,611.0,454.0
714,624.0,467.0
715,637.0,478.0
716,646.0,488.0
717,656.0,499.0
718,670.0,519.0
719,682.0,542.0
720,692.0,555.0
721,699.0,566.0
722,711.0,577.0
723,720.0,586.0
724,732.0,603.0
725,742.0,620.0
726,750.0,633.0
727,759.0,642.0
728,769.0,653.0
729,783.0,671.0
730,802.0,690.0
731,816.0,714.0
732,823.0,723.0
733,835.0,738.0
734,847.0,753.0
735,863.0,773.0
736,875.0,786.0
737,886.0,798.0
738,897.0,807.0
739,907.0,817.0
740,916.0,824.0
741,929.0,831.0
742,941.0,839.0
743,954.0,843.0
744,967.0,847.0
745,977.0,848.0
746,989.0,850.0
747,1005.0,850.0
748,1021.0,847.0
749,1036.0,844.0
750,1048.0,838.0
751,1061.0,830.0
752,1083.0,819.0
753,1106.0,807.0
754,1123.0,799.0
755,1140.0,787.0
756,1162.0,772.0
757,1190.0,755.0
758,1207.0,745.0
759,1222.0,736.0
760,1239.0,728.0
761,1265.0,708.0
762,1280.0,695.0
763,1296.0,677.0
764,1312.0,658.0
765,1331.0,633.0
766,1348.0,608.0
767,1356.0,590.0
768,1361.0,581.0
769,1365.0,576.0
770,1366.0,574.0
771,1366.0,574.0
772,882.0,159.0
773,869.0,107.0
774,839.0,32.0
775,825.0,9.0
776,785.0,-78.0
777,773.0,-24.0
778,740.0,-52.0
779,718.0,-30.0
780,708.0,-9.0
781,703.0,-5.0
782,701.0,-2.0
783,699.0,0.0
784,697.0,0.0
785,695.0,0.0
786,694.0,1.0
787,691.0,7.0
788,687.0,18.0
789,684.0,30.0
790,682.0,40.0
791,681.0,49.0
792,678.0,61.0
793,673.0,80.0
794,669.0,100.0
795,668.0,116.0
796,664.0,132.0
797,664.0,154.0
798,665.0,182.0
799,667.0,200.0
800,670.0,216.0
801,674.0,241.0
802,679.0,265.0
803,683.0,282.0
804,688.0,300.0
805,693.0,323.0
806,699.0,347.0
807,702.0,365.0
808,708.0,382.0
809,713.0,422.0
810,716.0,445.0
811,716.0,467.0
812,716.0,500.0
813,713.0,538.0
814,709.0,553.0
815,705.0,569.0
816,698.0,588.0
817,690.0,602.0
818,679.0,610.0
819,648.0,622.0
820,625.0,626.0
821,602.0,623.0
822,551.0,613.0
823,518.0,604.0
824,473.0,589.0
825,396.0,568.0
826,373.0,565.0
827,298.0,556.0
828,269.0,556.0
829,184.0,556.0
830,127.0,556.0
831,41.0,561.0
832,-27.0,572.0
833,-67.0,581.0
834,-43.0,588.0
835,-27.0,592.0
836,-4.0,593.0
837,-2.0,593.0
838,0.0,592.0
839,17.0,550.0
840,25.0,558.0
841,31.0,567.0
842,36.0,574.0
843,40.0,579.0
844,44.0,583.0
845,48.0,588.0
846,50.0,593.0
847,53.0,598.0
848,55.0,605.0
849,58.0,613.0
850,61.0,624.0
851,63.0,632.0
852,64.0,641.0
853,67.0,651.0
854,69.0,665.0
855,70.0,678.0
856,70.0,688.0
857,70.0,691.0
858,70.0,694.0
859,70.0,695.0
860,70.0,696.0
861,69.0,696.0
862,69.0,697.0
863,69.0,697.0
864,68.0,697.0
865,67.0,698.0
866,66.0,699.0
867,65.0,699.0
868,64.0,699.0
869,64.0,699.0
870,72.0,690.0
871,76.0,683.0
872,94.0,669.0
873,127.0,646.0
874,144.0,632.0
875,170.0,610.0
876,200.0,584.0
877,237.0,560.0
878,254.0,548.0
879,276.0,535.0
880,293.0,523.0
881,310.0,515.0
882,327.0,503.0
883,346.0,493.0
884,362.0,486.0
885,375.0,476.0
886,392.0,466.0
887,411.0,456.0
888,426.0,448.0
889,439.0,441.0
890,448.0,435.0
891,457.0,429.0
892,465.0,427.0
893,474.0,421.0
894,487.0,417.0
895,499.0,414.0
896,508.0,413.0
897,520.0,411.0
898,528.0,411.0
899,540.0,413.0
900,553.0,415.0
901,565.0,418.0
902,574.0,423.0
903,583.0,425.0
904,590.0,431.0
905,599.0,440.0
906,611.0,454.0
907,624.0,467.0
908,637.0,478.0
909,646.0,488.0
910,656.0,499.0
911,670.0,519.0
912,682.0,542.0
913,692.0,555.0
914,699.0,566.0
915,711.0,577.0
916,720.0,586.0
917,732.0,603.0
918,742.0,620.0
919,750.0,633.0
920,759.0,642.0
921,769.0,653.0
922,783.0,671.0
923,802.0,690.0
924,816.0,714.0
925,823.0,723.0
926,835.0,738.0
927,847.0,753.0
928,863.0,773.0
929,875.0,786.0
930,886.0,798.0
931,897.0,807.0
932,907.0,817.0
933,916.0,824.0
934,929.0,831.0
935,941.0,839.0
936,954.0,843.0
937,967.0,847.0
938,977.0,848.0
939,989.0,850.0
940,1005.0,850.0
941,1021.0,847.0
942,1036.0,844.0
943,1048.0,838.0
944,1061.0,830.0
945,1083.0,819.0
946,1106.0,807.0
947,1123.0,799.0
948,1140.0,787.0
949,1162.0,772.0
950,1190.0,755.0
951,1207.0,745.0
952,1222.0,736.0
953,1239.0,728.0
954,1265.0,708.0
955,1280.0,695.0
956,1296.0,677.0
957,1312.0,658.0
958,1331.0,633.0
959,1348.0,608.0
960,1356.0,590.0
961,1361.0,581.0
962,1365.0,576.0
963,1366.0,574.0
964,1366.0,574.0
965,882.0,159.0
966,869.0,107.0
967,839.0,32.0
968,825.0,9.0
969,785.0,-78.0
970,773.0,-24.0
971,740.0,-52.0
972,718.0,-30.0
973,708.0,-9.0
974,703.0,-5.0
975,701.0,-2.0
976,699.0,0.0
977,697.0,0.0
978,695.0,0.0
979,694.0,1.0
980,691.0,7.0
981,687.0,18.0
982,684.0,30.0
983,682.0,40.0
984,681.0,49.0
985,678.0,61.0
986,673.0,80.0
987,669.0,100.0
988,668.0,116.0
989,664.0,132.0
990,664.0,154.0
991,665.0,182.0
992,667.0,200.0
993,670.0,216.0
994,674.0,241.0
995,679.0,265.0
996,683.0,282.0
997,688.0,300.0
998,693.0,323.0
999,699.0,347.0
